price,Комнатность,Площадь квартиры,Жилая площадь,Этаж,Отделка,Срок сдачи,Высота потолков,Лифт,Материал стен,Парковка,Площадь кухни,Санузел,Кол-во санузлов,Балкон/лоджия,Серия дома,Отопление,,Тип жилья,Вид из окна,Ремонт,Вид из окон,Временная эпоха,Реновация,Территория,Год постройки,Кондиционер,Посудомойка,Холодильник,Мебель,Интернет,Кухонная мебель,Телевизор,Стиральная машина,Консьерж
25552020,2-комнатная,"56,4 м²",36 м²,39 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
24286404,2-комнатная,"56,4 м²","23,9 м²",42 из 59,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
25667076,2-комнатная,"56,4 м²",36 м²,44 из 46,,2028 г.,"2,85 м",,,,,,,,,,,,,,,,,,,,,,,,,,,
13216240,2-комнатная,"56,4 м²","37,2 м²",7 из 16,без отделки,4 кв. 2026 г.,"2,95 м",,,,"4,7 м²",,,,,,,,,,,,,,,,,,,,,,,
28500000,2-комнатная,"56,4 м²","26,6 м²",9 из 37,,,"3,1 м",есть,монолит,закрытая,"11,7 м²",,2,,,,,,во двор,Дизайнерский,,,,,2021,есть,,,есть,,есть,,,
15200000,2-комнатная,"56,5 м²","32,2 м²",14 из 15,,,,есть,кирпич,закрытая,"8,9 м²",раздельный,1,есть,Башня Вулыха,центральное,Хорошая школа,,на улицу,Хороший,,брежневка,,,,,,,,,,,,
19258628,2-комнатная,"56,5 м²","22,6 м²",16 из 17,предчистовая,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
21588650,2-комнатная,"56,5 м²","21,7 м²",17 из 48,предчистовая,2027 г.,"2,85 м",есть,кирпич-монолит,подземная,,совмещённый,1,,,,,,во двор,,,,,,,,,,,,,,,
21552103,2-комнатная,"56,5 м²","21,6 м²",20 из 49,предчистовая,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
21510962,2-комнатная,"56,5 м²","35,1 м²",3 из 13,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"5,8 м²",,,,,,,,,,,,,,,,,,,,,,,
23006472,2-комнатная,"56,5 м²","18,5 м²",36 из 48,предчистовая,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
25543650,2-комнатная,"56,5 м²","37,8 м²",52 из 59,без отделки,3 кв. 2028 г.,"2,85 м",есть,кирпич-монолит,закрытая,,,,,,,,,,,,,,,,,,,,,,,,
25611450,2-комнатная,"56,5 м²","37,8 м²",55 из 59,без отделки,3 кв. 2028 г.,"2,85 м",есть,кирпич-монолит,закрытая,,,,,,,,,,,,,,,,,,,,,,,,
31079720,2-комнатная,"56,6 м²","35,8 м²",15 из 23,без отделки,2 кв. 2027 г.,"3,3 м",есть,кирпич-монолит,закрытая,,,,,,,,,,,,,,,,,,,,,,,,
32597259,2-комнатная,"56,6 м²",,18 из 25,,2 кв. 2025 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18523697,2-комнатная,"56,6 м²","22,5 м²",2 из 17,предчистовая,2027 г.,"2,85 м",есть,монолит,подземная,,,,,,,,,во двор,,,,,,,,,,,,,,,
22695035,2-комнатная,"56,6 м²","27,6 м²",2 из 44,без отделки,4 кв. 2027 г.,"2,92 м",есть,монолит,закрытая,"17,8 м²",,,,,,,,,,,,,,,,,,,,,,,
37427830,2-комнатная,"56,6 м²",,21 из 25,,2 кв. 2025 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28131851,2-комнатная,"56,6 м²",,9 из 25,,2 кв. 2025 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21665070,2-комнатная,"56,7 м²","22,6 м²",10 из 19,предчистовая,2027 г.,"2,85 м",есть,кирпич-монолит,подземная,,,2,,,,,,во двор,,,,,,,,,,,,,,,
15200000,2-комнатная,"56,7 м²","30,6 м²",10 из 24,,,"2,75 м",есть,панель,закрытая,15 м²,раздельный,1,,П-111М,,,,,Хороший,во двор и на улицу,,,,2015,,,,есть,,,,,
